id,name,team,position,byeWeek,injuryStatus,points,adp
203,Isaac Guerendo,SF,RB,9,NA,94.2,203
204,Ricky Pearsall,SF,WR,9,NA,93.5,204
205,Aidan O'Connell,LV,QB,10,NA,93.5,205
206,Jalen Coker,CAR,WR,11,NA,92.6,206
207,Tim Patrick,DET,WR,5,NA,92.4,207
208,Ty Johnson,BUF,RB,12,NA,91.7,208
209,Brenton Strange,JAX,TE,12,NA,91.1,209
210,Jordan Akins,CLE,TE,10,NA,91.0,210
211,Greg Dortch,ARI,WR,11,NA,90.3,211
212,Evan Engram,JAX,TE,12,NA,89.5,212
213,T.J. Hockenson,MIN,TE,6,NA,86.5,213
214,Noah Brown,WAS,WR,14,NA,86.3,214
215,Braelon Allen,NYJ,RB,12,NA,85.2,215
216,David Moore,CAR,WR,11,NA,85.1,216
217,Zack Moss,CIN,RB,12,NA,81.9,217
218,Samaje Perine,KC,RB,6,NA,81.4,218
219,Cedric Tillman,CLE,WR,10,NA,80.4,219
220,Sterling Shepard,TB,WR,11,NA,80.3,220
221,Drew Lock,NYG,QB,11,NA,80.1,221
222,Rashid Shaheed,NO,WR,12,NA,79.8,222
223,AJ Barner,SEA,TE,10,NA,78.5,223
224,Tyler Boyd,TEN,WR,5,NA,78.3,224
225,Roschon Johnson,CHI,RB,7,NA,77.4,225
226,Miles Sanders,CAR,RB,11,NA,77.3,226
227,Deshaun Watson,CLE,QB,10,NA,76.7,227
228,Chris Olave,NO,WR,12,NA,76.7,228
229,Ja'Tavion Sanders,CAR,TE,11,NA,73.2,229
230,Christian Kirk,JAX,WR,12,NA,70.9,230
231,Raheem Mostert,MIA,RB,6,NA,70.9,231
232,Brandin Cooks,DAL,WR,7,NA,69.6,232
233,Sean Tucker,TB,RB,11,NA,68.7,233
234,Theo Johnson,NYG,TE,11,NA,68.1,234
235,Dyami Brown,WAS,WR,14,NA,67.4,235
236,Spencer Rattler,NO,QB,12,NA,67.3,236
237,Troy Franklin,DEN,WR,14,NA,67.1,237
238,Josh Oliver,MIN,TE,6,NA,65.8,238
239,Colby Parkinson,LAR,TE,6,NA,65.4,239
240,Kendrick Bourne,NE,WR,14,NA,65.1,240
241,Rashee Rice,KC,WR,6,NA,64.9,241
242,Lil'Jordan Humphrey,DEN,WR,14,NA,64.3,242
243,Gus Edwards,LAC,RB,5,NA,64.1,243
244,Jeremy McNichols,WAS,RB,14,NA,63.8,244
245,Curtis Samuel,BUF,WR,12,NA,63.7,245
246,Van Jefferson,PIT,WR,9,NA,63.6,246
247,Nick Chubb,CLE,RB,10,NA,63.3,247
248,Justin Watson,KC,WR,6,NA,62.9,248
249,Kenneth Gainwell,PHI,RB,5,NA,62.6,249
